C:\Users\Νικόλας\Downloads\simulator-windows-64\IMG\center_2024_04_14_10_56_59_856.jpg, C:\Users\Νικόλας\Downloads\simulator-windows-64\IMG\left_2024_04_14_10_56_59_856.jpg, C:\Users\Νικόλας\Downloads\simulator-windows-64\IMG\right_2024_04_14_10_56_59_856.jpg, 0, 0, 0, 7.910284E-05
C:\Users\Νικόλας\Downloads\simulator-windows-64\IMG\center_2024_04_14_10_56_59_977.jpg, C:\Users\Νικόλας\Downloads\simulator-windows-64\IMG\left_2024_04_14_10_56_59_977.jpg, C:\Users\Νικόλας\Downloads\simulator-windows-64\IMG\right_2024_04_14_10_56_59_977.jpg, 0, 0, 0, 7.809827E-05
C:\Users\Νικόλας\Downloads\simulator-windows-64\IMG\center_2024_04_14_10_57_00_109.jpg, C:\Users\Νικόλας\Downloads\simulator-windows-64\IMG\left_2024_04_14_10_57_00_109.jpg, C:\Users\Νικόλας\Downloads\simulator-windows-64\IMG\right_2024_04_14_10_57_00_109.jpg, 0, 0, 0, 7.796847E-05
C:\Users\Νικόλας\Downloads\simulator-windows-64\IMG\center_2024_04_14_10_57_00_212.jpg, C:\Users\Νικόλας\Downloads\simulator-windows-64\IMG\left_2024_04_14_10_57_00_212.jpg, C:\Users\Νικόλας\Downloads\simulator-windows-64\IMG\right_2024_04_14_10_57_00_212.jpg, 0, 0, 0, 7.815342E-05
C:\Users\Νικόλας\Downloads\simulator-windows-64\IMG\center_2024_04_14_10_57_00_315.jpg, C:\Users\Νικόλας\Downloads\simulator-windows-64\IMG\left_2024_04_14_10_57_00_315.jpg, C:\Users\Νικόλας\Downloads\simulator-windows-64\IMG\right_2024_04_14_10_57_00_315.jpg, 0, 0, 0, 8.017896E-05
C:\Users\Νικόλας\Downloads\simulator-windows-64\IMG\center_2024_04_14_10_57_00_416.jpg, C:\Users\Νικόλας\Downloads\simulator-windows-64\IMG\left_2024_04_14_10_57_00_416.jpg, C:\Users\Νικόλας\Downloads\simulator-windows-64\IMG\right_2024_04_14_10_57_00_416.jpg, 0, 0.3022041, 0, 0.2915348
C:\Users\Νικόλας\Downloads\simulator-windows-64\IMG\center_2024_04_14_10_57_00_519.jpg, C:\Users\Νικόλας\Downloads\simulator-windows-64\IMG\left_2024_04_14_10_57_00_519.jpg, C:\Users\Νικόλας\Downloads\simulator-windows-64\IMG\right_2024_04_14_10_57_00_519.jpg, 0, 0.6053415, 0, 0.8765688
C:\Users\Νικόλας\Downloads\simulator-windows-64\IMG\center_2024_04_14_10_57_00_620.jpg, C:\Users\Νικόλας\Downloads\simulator-windows-64\IMG\left_2024_04_14_10_57_00_620.jpg, C:\Users\Νικόλας\Downloads\simulator-windows-64\IMG\right_2024_04_14_10_57_00_620.jpg, 0, 0.911064, 0, 1.861322
C:\Users\Νικόλας\Downloads\simulator-windows-64\IMG\center_2024_04_14_10_57_00_719.jpg, C:\Users\Νικόλας\Downloads\simulator-windows-64\IMG\left_2024_04_14_10_57_00_719.jpg, C:\Users\Νικόλας\Downloads\simulator-windows-64\IMG\right_2024_04_14_10_57_00_719.jpg, 0, 1, 0, 3.013386
C:\Users\Νικόλας\Downloads\simulator-windows-64\IMG\center_2024_04_14_10_57_00_821.jpg, C:\Users\Νικόλας\Downloads\simulator-windows-64\IMG\left_2024_04_14_10_57_00_821.jpg, C:\Users\Νικόλας\Downloads\simulator-windows-64\IMG\right_2024_04_14_10_57_00_821.jpg, 0, 1, 0, 4.187858
